Date,BVN,ETH-USD,GLD,PEN,SCCO
2016-02-12,5.489999771118164,,118.36000061035156,42.290000915527344,26.3700008392334
2016-02-16,4.730000019073486,,114.7699966430664,44.220001220703125,26.399999618530273
2016-02-17,4.849999904632568,,115.4800033569336,44.52000045776367,25.489999771118164
2016-02-18,5.300000190734863,,118.29000091552734,45.77000045776367,24.25
2016-02-19,5.179999828338623,,117.58000183105469,49.29999923706055,23.75
2016-02-22,5.409999847412109,,115.48999786376953,50.20000076293945,24.959999084472656
2016-02-23,5.269999980926514,,117.22000122070312,49.22999954223633,24.329999923706055
2016-02-24,5.349999904632568,,117.61000061035156,46.63999938964844,24.329999923706055
2016-02-25,5.409999847412109,,117.91999816894531,47.04999923706055,24.459999084472656
2016-02-26,5.179999828338623,,117.11000061035156,47.45000076293945,24.6299991607666
2016-02-29,5.21999979019165,,118.63999938964844,46.619998931884766,23.940000534057617
2016-03-01,5.059999942779541,,117.7699966430664,45.5099983215332,24.739999771118164
2016-03-02,5.480000019073486,,118.68000030517578,46.25,25.729999542236328
2016-03-03,5.670000076293945,,120.7300033569336,45.20000076293945,26.1299991607666
2016-03-04,5.510000228881836,,120.54000091552734,45.560001373291016,26.940000534057617
2016-03-07,6.0,,121.13999938964844,46.040000915527344,26.950000762939453
2016-03-08,5.659999847412109,,120.58000183105469,44.77000045776367,25.93000030517578
2016-03-09,5.670000076293945,,119.58000183105469,43.150001525878906,26.190000534057617
2016-03-10,5.739999771118164,,121.5,42.0,26.280000686645508
2016-03-11,5.670000076293945,,119.41000366210938,42.72999954223633,26.850000381469727
2016-03-14,5.360000133514404,,117.87000274658203,46.33000183105469,26.8700008392334
2016-03-15,5.150000095367432,,117.95999908447266,47.38999938964844,26.6299991607666
2016-03-16,5.71999979019165,,120.58999633789062,44.810001373291016,27.68000030517578
2016-03-17,5.900000095367432,,120.12999725341797,45.0099983215332,28.440000534057617
2016-03-18,6.079999923706055,,119.80000305175781,47.060001373291016,28.34000015258789
2016-03-21,6.019999980926514,,118.95999908447266,45.0099983215332,28.219999313354492
2016-03-22,6.389999866485596,,119.30999755859375,44.970001220703125,28.399999618530273
2016-03-23,6.239999771118164,,116.61000061035156,44.150001525878906,27.459999084472656
2016-03-24,6.46999979019165,,116.33000183105469,44.939998626708984,27.969999313354492
2016-03-28,6.25,,116.5999984741211,44.060001373291016,27.75
2016-03-29,7.059999942779541,,118.76000213623047,45.2400016784668,28.270000457763672
2016-03-30,7.380000114440918,,117.0999984741211,45.25,28.190000534057617
